,PCIF,PPAN,,PAC,EMAIL,,
10473406,839958,FLS.5858311010473406,,Cwb@1234,sami.usmani@cwbank.com,,
10487943,839960,FLS.5858311010487943,,Cwb@1234,sami.usmani@cwbank.com,,
10564568,839963,FLS.5858311010564568,,Cwb@1234,sami.usmani@cwbank.com,,
10473687,839959,FLS.5858311010473687,,Cwb@1234,sami.usmani@cwbank.com,,
10559592,839961,FLS.5858311010559592,,Cwb@1234,sami.usmani@cwbank.com,,
10717869,839964,FLS.5858311010717869,,Cwb@1234,sami.usmani@cwbank.com,,
10681289,839966,FLS.5858311010681289,,Cwb@1234,sami.usmani@cwbank.com,,
10681719,839968,FLS.5858311010681719,,Cwb@1234,sami.usmani@cwbank.com,,
10681305,839967,FLS.5858311010681305,,Cwb@1234,sami.usmani@cwbank.com,,
10708546,839969,FLS.5858311010708546,,Cwb@1234,sami.usmani@cwbank.com,,
,,,,,,,
,BCIF::,,,,,,
,PCIF,BCIF,BPAN,PAC,EMAIL,,
11199406,839971,839970,CWB.5858311011199406,Cwb@1234,sami.usmani@cwbank.com,,
11382424,839975,839976,CWB.5858311011382424,Cwb@1234,sami.usmani@cwbank.com,,
11382440,839979,839980,CWB.5858311011382440,Cwb@1234,sami.usmani@cwbank.com,,
11382465,839983,839984,CWB.5858311011382465,Cwb@1234,sami.usmani@cwbank.com,,
11199414,839974,839973,CWB.5858311011199414,Cwb@1234,sami.usmani@cwbank.com,,
11382432,839977,839978,CWB.5858311011382432,Cwb@1234,sami.usmani@cwbank.com,,
11382457,839981,839982,CWB.5858311011382457,Cwb@1234,sami.usmani@cwbank.com,,
11382473,839985,839986,CWB.5858311011382473,Cwb@1234,sami.usmani@cwbank.com,,
10124629,839989,839990,CWB. 5858311010124629,Cwb@1234,sami.usmani@cwbank.com,,
11382481,839987,839988,CWB.5858311011382481,Cwb@1234,sami.usmani@cwbank.com,,
,,,,,,,
,Combined,,,,,,
,PCIF,PPAN,,BCIF,BPAN,PAC,EMAIL
11382499,839994,FLS.5858311010748823,,839993,CWB.5858311011382499,Cwb@1234,sami.usmani@cwbank.com
11382523,840002,FLS.5858311010790684,,840001,CWB.5858311011382523,Cwb@1234,sami.usmani@cwbank.com
11382531,840007,FLS.5858311010790940,,840008,CWB.5858311011382531,Cwb@1234,sami.usmani@cwbank.com
11382507,839996,FLS.5858311010791666,,839995,CWB.5858311011382507,Cwb@1234,sami.usmani@cwbank.com
10124637,840010,FLS.5858311010790957,,840009,CWB.5858311010124637,Cwb@1234,sami.usmani@cwbank.com
11382549,840014,FLS.5858311010790965,,840013,CWB.5858311011382549,Cwb@1234,sami.usmani@cwbank.com
11382556,840016,FLS. 5858311010791674,,840015,CWB.5858311011382556,Cwb@1234,sami.usmani@cwbank.com
11382564,840018,FLS.5858311010790973,,840017,CWB.5858311011382564,Cwb@1234,sami.usmani@cwbank.com
11382580,840020,FLS. 5858311010848227,,840019,CWB.5858311011382580,Cwb@1234,sami.usmani@cwbank.com
11382572,840021,FLS.5858311010790981,,840022,CWB.5858311011382572,Cwb@1234,sami.usmani@cwbank.com
